seconds,X,Y,Z
20.304,-0.127841,-10.545156,0.283512
20.313,-0.562542,-10.766189,-0.010956
20.322,-1.130849,-11.151962,-0.409418
20.331,-1.525873,-11.549265,-0.762046
20.34,-1.637385,-11.902802,-0.871614
20.349,-1.620539,-12.081314,-0.960764
20.358,-1.56395,-12.047326,-1.448846
20.367,-1.573019,-12.213005,-2.115057
20.376,-1.600811,-12.397933,-2.747576
20.385,-1.648906,-12.498269,-3.023139
20.394,-1.855391,-12.524921,-2.948699
20.403,-2.043499,-12.364941,-3.041268
20.412,-2.315509,-12.001463,-3.213258
20.421,-3.184154,-11.691347,-3.532597
20.43,-4.182057,-11.33984,-3.633153
20.439,-4.975208,-10.88113,-3.520329
20.448,-5.474438,-10.67971,-2.911311
20.457,-5.505122,-10.452854,-1.920983
20.466,-5.655459,-10.593998,-0.947807
20.475,-6.374696,-11.285529,0.770023
20.484,-5.851621,-11.828754,1.666451
20.493,-5.038415,-11.825307,1.981097
20.502,-4.554739,-11.54937,1.980819
20.511,-3.954762,-10.99722,1.597938
20.52,-3.549481,-10.62449,0.815293
20.529,-3.863849,-10.669817,-0.911022
20.538,-3.933444,-10.634661,-1.975006
20.547,-3.148098,-10.661936,-1.881057
20.556,-2.190063,-10.814906,-1.152913
20.565,-1.331147,-10.905215,-0.742566
20.574,-1.022238,-10.626204,-0.538456
20.583,-1.018062,-9.971955,-0.522645
20.592,-1.265087,-9.225673,-0.43043
20.601,-1.700362,-8.515945,-0.049215
20.61,-2.094093,-8.021658,0.038173
20.619,-2.17178,-7.5344,0.074862
20.628,-2.320479,-7.111334,-0.023243
20.637,-2.34445,-6.742953,-0.190923
20.646,-2.499997,-6.1232,-0.200165
20.655,-2.657957,-5.69843,-0.262653
20.664,-2.779218,-5.435853,-0.249007
20.673,-2.85929,-5.221611,-0.189937
20.682,-3.075793,-5.004705,-0.1661
20.691,-3.151641,-4.963994,-0.010458
20.7,-3.232115,-4.995569,0.008112
20.709,-3.413481,-4.866589,-0.110765
20.718,-3.586246,-4.757671,-0.192685
20.727,-3.556721,-4.56354,-0.338109
20.736,-3.335832,-4.296204,-0.43427
20.745,-3.054417,-4.190131,-0.707946
20.754,-2.680644,-4.09828,-1.087715
20.763,-2.517829,-4.030217,-1.350368
20.772,-2.469992,-4.291971,-1.843171
20.781,-2.40261,-4.855125,-2.784342
20.79,-2.280735,-5.915852,-4.03943
20.799,-2.061829,-7.49613,-6.165481
20.808,-1.918196,-9.578904,-8.451791
20.817,-1.542029,-12.107746,-10.787928
20.826,-0.997961,-14.952288,-13.189897
20.835,-0.131394,-17.342995,-14.391508
20.844,1.146727,-18.170248,-13.389784
20.853,1.652871,-16.971329,-11.17168
20.862,0.180628,-12.154864,-8.0861
20.871,-0.383896,-9.238956,-6.648564
20.88,-0.677368,-7.669796,-5.743671
20.888,-1.146267,-5.891843,-4.390784
20.898,-1.165641,-5.320663,-3.664019
20.907,-1.742672,-5.310962,-2.765025
20.916,-2.061274,-6.572256,-2.138932
20.925,-2.893776,-8.171094,-1.127018
20.934,-3.884889,-10.866352,-0.658166
20.943,-5.066409,-13.755943,-0.743237
20.952,-6.135066,-16.181355,-1.513097
20.961,-5.933013,-16.703072,-3.179682
20.97,-4.835971,-15.044618,-4.081041
20.979,-4.3635,-12.047336,-2.998776
20.988,-4.938951,-8.730304,-1.12177
20.997,-5.607048,-5.870257,0.347724
21.006,-6.063977,-3.596062,1.053688
21.015,-6.44091,-2.156027,1.585728
21.024,-6.775409,-1.740642,2.04371
21.033,-6.829393,-2.376293,2.315346
21.042,-5.9865,-3.763886,2.627043
21.051,-4.481045,-5.613024,3.290763
21.06,-2.514372,-8.218615,3.402822
21.069,-0.97511,-10.933974,2.305923
21.078,-0.044637,-13.250748,1.101974
21.087,0.452552,-14.692575,0.224854
21.096,0.867898,-14.653808,-0.104761
21.105,0.580546,-13.569416,-0.267001
21.114,-0.311007,-12.077158,-0.768041
21.123,-1.047348,-10.657482,-0.971452
21.132,-1.764785,-9.494945,-1.057452
21.141,-2.392392,-8.655355,-1.095223
21.15,-2.81107,-7.983178,-1.065927
21.159,-3.078369,-7.668724,-1.158305
21.168,-3.254122,-7.703679,-1.086651
21.177,-3.048144,-7.815872,-0.654661
21.186,-2.755171,-8.216422,-0.328034
21.195,-2.494844,-8.532609,0.010659
21.204,-2.104714,-8.740101,0.165861
21.213,-1.710791,-9.17121,0.080302
21.222,-1.493944,-9.428864,-0.062288
21.231,-1.104915,-9.333489,-0.090989
21.24,-0.919105,-9.337817,-0.173206
21.249,-0.85427,-9.264804,-0.248738
21.258,-0.939389,-9.251789,-0.2598
21.267,-1.186806,-9.227061,-0.320871
21.276,-1.308335,-9.106931,-0.412808
21.285,-1.562341,-9.025977,-0.759422
21.294,-1.887713,-8.98429,-0.908485
21.303,-2.1229,-8.807665,-1.00182
21.312,-2.288742,-8.805367,-0.859767
21.321,-2.369062,-9.016113,-0.552026
21.33,-2.411239,-9.096425,-0.303154
21.339,-2.274051,-9.173431,-0.217585
21.348,-1.962546,-9.218184,-0.423276
21.357,-1.646943,-9.322783,-0.890614
21.366,-1.473823,-9.380951,-1.329127
21.375,-1.573278,-9.440309,-1.650687
21.384,-1.774745,-9.742533,-1.958486
21.393,-1.966741,-10.030508,-1.754567
21.402,-1.74816,-10.19023,-1.285859
21.411,-1.255998,-10.344954,-0.674265
21.42,-0.836745,-10.294589,-0.10386
21.429,-0.360931,-10.472966,0.324347
21.438,0.105833,-10.543567,0.549421
21.447,0.405482,-10.523627,0.479319
21.456,0.486492,-10.643578,0.289909
21.465,0.284345,-10.724673,0.123388
21.474,-0.150902,-11.044865,-0.026049
21.483,-0.892922,-11.458209,-0.153918
21.492,-1.605954,-11.973432,-0.36818
21.501,-2.132506,-12.235491,-0.898515
21.51,-2.559909,-12.310832,-1.601606
21.519,-2.994572,-12.496181,-2.24035
21.528,-2.936029,-12.770337,-2.580739
21.537,-2.563519,-12.940775,-2.630146
21.546,-2.260414,-12.91305,-2.696302
21.555,-2.147254,-12.690763,-2.853946
21.564,-2.130543,-12.480093,-2.905804
21.573,-2.631084,-12.016623,-3.179021
21.582,-3.670733,-11.366146,-3.419839
21.591,-4.605649,-10.860722,-3.685797
21.599,-5.343188,-10.416923,-3.549155
21.609,-5.537281,-10.273596,-2.610331
21.618,-5.839477,-10.349942,-1.388244
21.627,-6.336437,-10.395202,-0.142101
21.636,-5.741995,-10.986982,1.816739
21.645,-4.775187,-11.120004,2.456575
21.654,-4.132038,-10.842689,2.273716
21.663,-3.51645,-10.63988,1.649356
21.672,-3.436723,-10.414098,0.427135
21.681,-3.533392,-10.693712,-0.609937
21.69,-3.737023,-10.894738,-1.68615
21.699,-3.579073,-10.843283,-1.930991
21.708,-2.691609,-10.639411,-1.28832
21.717,-1.603818,-10.727901,-0.254437
21.726,-1.019691,-10.624433,0.058055
21.735,-0.985214,-10.077807,-0.079861
21.744,-1.116435,-9.387348,-0.286318
21.753,-1.432575,-8.529841,-0.30031
21.762,-1.674926,-7.836749,-0.219797
21.771,-1.939686,-7.329561,-0.177765
21.78,-2.082592,-6.956784,-0.384509
21.789,-2.32001,-6.723531,-0.433102
21.798,-2.449288,-6.416882,-0.569542
21.807,-2.453492,-6.097515,-0.603013
21.816,-2.728853,-5.892494,-0.472568
21.825,-2.79388,-5.738078,-0.469273
21.834,-2.813091,-5.614068,-0.437009
21.843,-2.902663,-5.501301,-0.531685
21.852,-2.902835,-5.449461,-0.458241
21.861,-3.007184,-5.350361,-0.375909
21.87,-3.204859,-5.253098,-0.265641
21.879,-3.121187,-5.049927,-0.072554
21.888,-2.942302,-4.754769,-0.117843
21.897,-2.558655,-4.600622,-0.222019
21.906,-2.159704,-4.337096,-0.524311
21.915,-2.120889,-4.193243,-0.951542
21.924,-2.255482,-4.374485,-1.630126
21.933,-2.534176,-4.582167,-2.427184
21.942,-2.526955,-5.222089,-3.202005
21.951,-2.323592,-6.432233,-4.272692
21.96,-2.237554,-8.070739,-6.123851
21.969,-2.16499,-10.282474,-8.797523
21.978,-1.942655,-13.129208,-11.877999
21.987,-1.209608,-16.354065,-14.886715
21.996,0.276559,-18.345284,-15.47838
22.005,1.666125,-18.193806,-13.382563
22.014,1.911693,-16.186863,-10.933496
22.023,1.163975,-10.847878,-6.982268
22.032,0.942942,-7.640731,-4.997245
22.041,0.452686,-6.088522,-4.133924
22.05,-0.002863,-4.610868,-3.306029
22.059,-0.450522,-4.816731,-2.938231
22.068,-1.426705,-5.667027,-1.900096
22.077,-2.689455,-7.828446,-1.033663
22.086,-4.043376,-10.505249,-0.382316
22.095,-5.500707,-14.070877,-0.608941
22.104,-6.494732,-16.94705,-1.060038
22.113,-5.793346,-17.537039,-2.869403
22.122,-4.387087,-15.512186,-3.834141
22.131,-3.875849,-12.241879,-2.667888
22.14,-4.481361,-8.50974,-0.890854
22.149,-5.300274,-5.518932,0.064136
22.158,-6.301932,-3.415817,0.68161
22.167,-6.987698,-2.086872,1.456412
22.176,-7.535396,-1.898765,2.109186
22.185,-7.458829,-2.741217,2.752135
22.194,-6.577897,-4.212186,3.263393
22.203,-5.206431,-6.170787,3.563357
22.212,-3.275124,-8.447681,3.261027
22.221,-1.290503,-11.034904,2.172116
22.23,-0.043785,-13.381413,1.066454
22.239,0.869804,-14.591213,0.182745
22.248,1.310433,-14.384163,-0.28106
22.257,0.898994,-13.256178,-0.374041
22.266,0.208161,-11.797726,-0.510875
22.275,-0.788353,-10.491133,-0.787826
22.284,-1.791543,-9.449838,-1.199888
22.293,-2.336808,-8.585856,-1.50715
22.302,-2.540746,-8.037086,-1.512599
22.31,-2.835309,-7.801046,-1.264579
22.32,-2.74613,-7.844831,-0.830079
22.329,-2.501854,-8.089481,-0.435754
22.338,-2.238579,-8.491765,-0.323706
22.347,-1.885568,-8.77178,-0.062345
22.356,-1.56734,-8.868028,0.083184
22.365,-1.361429,-9.106815,0.074776
22.374,-1.312185,-9.513647,-0.057997
22.383,-1.211083,-9.685647,-0.163965
22.392,-1.04572,-9.726368,-0.221081
22.401,-0.895374,-9.659952,-0.176778
22.41,-0.97717,-9.432849,-0.55941
22.419,-1.261984,-9.225912,-0.959146
22.428,-1.563462,-9.142643,-1.206314
22.437,-1.677885,-9.102755,-1.362856
22.446,-1.867746,-9.064045,-1.17177
22.455,-1.894608,-9.059247,-0.936899
22.464,-1.769286,-9.132615,-0.4922
22.473,-1.657535,-9.180183,-0.140607
22.482,-1.639741,-9.317429,-0.065065
22.491,-1.479406,-9.350277,-0.297791
22.5,-1.499297,-9.324793,-0.709325
22.509,-1.588352,-9.274907,-1.434922
22.518,-1.797883,-9.243945,-2.021377
22.527,-2.018446,-9.372447,-2.332661
22.536,-2.195636,-9.55139,-2.265346
22.545,-1.988538,-9.830506,-1.725501
22.554,-1.522291,-10.101577,-1.064615
22.563,-1.013274,-10.378894,-0.323485
22.572,-0.467779,-10.581711,0.285743
22.581,-0.124719,-10.66818,0.509706
22.59,0.201218,-10.531451,0.440466
22.599,0.192178,-10.533023,0.285216
22.608,-0.183894,-10.462154,0.196679
22.617,-0.832502,-10.308168,0.056398
22.626,-1.409026,-10.392779,-0.217872
22.635,-1.971807,-10.640589,-0.492698
22.644,-2.196977,-11.040431,-0.767102
22.653,-2.335764,-11.600951,-1.32045
22.662,-2.332594,-12.245796,-1.936038
22.671,-2.021606,-12.651106,-2.329213
22.68,-1.740431,-12.859123,-2.581466
22.689,-1.540611,-12.90673,-2.62958
22.698,-1.521467,-13.009106,-2.766395
22.707,-1.710456,-13.069009,-3.321984
22.716,-1.807651,-13.057373,-3.935828
22.725,-2.115354,-12.892259,-4.260702
22.734,-2.642873,-12.35862,-4.356978
22.743,-3.313317,-11.658095,-4.038511
22.752,-4.012203,-11.087022,-3.380038
22.761,-4.514899,-10.763795,-2.462896
22.77,-5.065298,-10.631414,-0.980205
22.779,-5.648353,-10.664444,0.516535
22.788,-6.031933,-10.882614,1.479981
22.797,-5.699569,-11.166136,2.021252
22.806,-4.181205,-10.772079,2.054148
22.815,-3.513146,-10.485683,1.332096
22.824,-3.43929,-10.394388,0.046352
22.833,-3.740366,-10.325895,-1.394201
22.842,-3.402343,-10.344196,-2.3664
22.851,-2.201804,-10.22552,-1.960554
22.86,-1.217557,-10.352404,-1.056418
22.869,-0.204848,-10.567431,-0.434318
22.878,-0.084889,-10.505116,-0.011368
22.887,-0.317241,-10.031044,0.00882
22.896,-0.694242,-9.388795,0.027974
22.905,-1.098354,-8.668036,-0.126184
22.914,-1.481427,-8.077826,-0.180734
22.923,-1.741513,-7.734622,-0.103592
22.932,-1.957691,-7.269467,-0.163428
22.941,-2.173102,-6.968564,-0.325975
22.95,-2.319455,-6.749216,-0.513336
22.959,-2.51938,-6.466614,-0.576964
22.968,-2.642921,-6.267905,-0.66691
22.977,-2.860535,-5.969291,-0.562312
22.986,-3.074826,-5.713341,-0.469311
